Lines_of_Code,Cyclomatic_Complexity,Num_Functions,Code_Churn,Comment_Density,Num_Bugs,Has_Unit_Tests,Code_Owner_Experience,Quality_Label
3471.0,28,35,57.255016589488235,0.983646139731958,5,No,6,High
3529.0,44,50,202.47534396435177,0.8091275836385289,0,Yes,6,High
9872.0,27,49,116.05717909488185,0.5063587434025967,0,No,8,Low
4960.0,26,18,121.39014540553191,0.7086524119295885,2,Yes,5,Low
7720.0,20,125,50.326619072408555,0.7983223081194601,8,Yes,5,High
3032.0,13,144,22.707573227120776,0.342715293929207,3,Yes,1,High
5186.0,28,123,45.8303030792667,0.15401610155402584,4,No,6,Low
9878.0,34,195,146.0050606923072,0.4652625411986935,1,Yes,1,Low
6749.0,49,81,185.5249188267128,0.23020584589226373,1,No,8,High
8219.0,23,92,114.43755355926584,0.3495170077862517,2,No,9,High
5083.0,10,170,104.6262487169559,0.9521609459267198,3,Yes,6,High
2621.0,30,121,148.36198159673992,0.8623743339002667,4,No,9,High
2802.0,22,179,169.05842173485877,0.6332174511108942,4,Yes,2,High
118.0,5,128,27.396698609476687,0.46113103587913506,2,No,9,High
2669.0,44,58,181.3966986275828,0.33789732418706636,6,Yes,4,High
883.0,9,187,80.975342386404,0.6143124517468,4,Yes,3,Low
9998.0,43,52,154.19897569794713,0.5798442247056033,4,Yes,1,Medium
514.0,4,105,46.618414710769585,0.8027027275433797,4,Yes,1,Medium
8655.0,42,19,151.67509903010153,0.9352181698876515,0,Yes,8,Low
1203.0,1,117,28.31524387046936,0.39604357119701705,8,No,2,Medium
4991.0,34,20,156.06565101712528,0.28566739968111476,3,Yes,1,Low
5409.0,41,175,132.167316355061,0.4625196543511346,4,Yes,2,Low
1271.0,26,139,21.397855614118157,0.4937871721718837,5,No,3,Low
9990.0,18,47,163.7706884973702,0.1358832605359262,6,Yes,4,Low
8734.0,16,32,51.20106454722291,0.8755268789795704,5,Yes,9,Medium
6508.0,23,70,157.14577976182056,0.9960331048007458,0,No,7,Low
4845.0,46,102,107.22391457396931,0.9308878234403702,4,Yes,5,High
4661.0,36,64,37.686450364463866,0.8745984815382193,1,No,5,Low
8272.0,26,132,49.339034027859064,0.993340273113587,1,No,6,Medium
6736.0,2,135,295.1399358810962,0.9170275887773977,2,No,1,Medium
2689.0,44,133,215.3673507953322,0.7195308586689855,2,Yes,6,Medium
9795.0,5,163,89.46609050185205,0.2500809838949509,3,No,6,Medium
5822.0,29,60,121.23191440737696,0.24071511100318105,1,Yes,5,High
822.0,4,88,160.15169334548793,,4,No,9,Low
941.0,47,178,35.406143217234074,0.4706477804688548,1,No,5,High
2447.0,35,36,134.49680896157685,,4,No,9,Low
745.0,22,85,149.35840966537344,0.5412663503190195,2,Yes,7,Low
8315.0,49,22,118.09223717381138,0.4296895351404242,4,No,3,High
3372.0,8,39,169.54727740393133,,3,Yes,9,High
106.0,44,108,107.63219787567701,0.14657797818152937,10,No,7,Medium
3801.0,21,104,155.26484386777796,0.45926122908124656,2,No,4,Low
9563.0,8,27,111.81501434711035,0.1899328421653592,2,Yes,9,Low
5730.0,5,145,23.31511941265127,0.1931933554641845,4,No,6,Low
2656.0,21,146,146.9480913995655,0.4558135824735816,4,No,9,Low
3054.0,27,169,,,6,Yes,4,Low
7487.0,38,9,92.43987075844431,0.2680145982770636,1,Yes,2,Low
6888.0,5,154,33.045362283388414,0.7161721176343933,3,No,9,Medium
9891.0,21,32,143.4037279324023,0.47682280061452975,2,No,4,Low
9958.0,8,136,115.82384124222718,0.18273028396484448,4,No,2,Medium
9353.0,22,54,114.85063065732146,0.6733307121064437,4,Yes,7,Low
4761.0,18,106,109.45097334825363,0.42125033682562496,3,Yes,7,Low
3901.0,4,33,150.38552022966618,0.1470893293686396,4,No,5,High
5733.0,4,41,114.39681337897605,0.953183421700473,1,Yes,5,Low
7513.0,37,167,,0.6140772613951027,2,Yes,8,High
1263.0,15,152,19.236966146721684,0.5299483321275736,3,No,6,High
1381.0,38,167,76.92367497897501,0.8732236553684511,4,Yes,1,High
8287.0,27,134,145.47794172410775,0.9430663863823523,2,Yes,4,Medium
9500.0,21,120,83.26192321885809,0.2982896813495902,4,Yes,1,High
402.0,48,62,145.3924669229027,0.8291300515075244,4,Yes,5,High
9047.0,46,150,29.287589928491414,0.8479719340968386,4,Yes,5,High
4359.0,46,110,,0.1489625152098391,2,No,4,Low
,48,60,46.51494601795759,0.7407497036604455,2,Yes,9,Medium
9518.0,4,126,106.76878339934079,0.15667109361961934,9,Yes,8,Medium
8280.0,11,196,189.6006682451918,0.6352059217509106,3,Yes,3,Medium
7675.0,19,107,212.21501456005004,0.7023130994248066,2,Yes,5,Medium
9525.0,19,127,152.87692701079678,0.4303528195158728,2,No,6,Low
6078.0,27,184,2.1044746800647545,0.8927087469918922,3,No,5,High
9189.0,40,26,62.39594835227439,0.8204605362707251,1,Yes,8,Low
6190.0,42,64,-51.942541684371776,0.9333637422592567,5,No,5,Medium
8254.0,28,142,,0.38340057396788363,2,Yes,8,Low
8283.0,5,88,181.24405390240045,0.11937502005562979,2,No,3,Low
5780.0,48,132,140.77536685514448,0.8303151402977968,3,Yes,5,Medium
6611.0,25,84,11.726624639950174,0.3006796203967967,3,Yes,4,High
3462.0,3,138,169.43612228930607,0.5204404365103501,3,No,6,Low
9746.0,26,85,160.21397835092,0.8355890546776277,2,Yes,3,Medium
2112.0,10,10,177.15640923367718,0.29452166080776165,2,No,4,Low
1200.0,24,90,155.45542562488694,0.38071788650769134,2,Yes,4,Low
9107.0,29,86,73.69320811544299,0.49517198770401016,2,No,5,Low
5204.0,45,160,7.254268816751662,0.3446423651488969,3,No,6,High
5715.0,7,46,158.54630990549578,0.5151892807025458,2,No,2,Low
9612.0,44,78,138.82997325780033,0.10863698004507402,3,No,8,Low
,23,45,1.4034392890932281,0.29096917547619455,2,Yes,4,High
7723.0,46,67,51.785087074187935,0.849298023696678,1,Yes,7,Low
4687.0,27,26,53.189614710857,0.4721337626617007,1,No,7,Low
9324.0,42,83,136.37355911101537,0.6727651909677457,2,Yes,2,High
6137.0,9,161,99.22498633225663,0.30905913487198816,2,Yes,7,Medium
1255.0,44,75,86.81590189008556,0.6848907980037995,3,Yes,1,Low
9392.0,3,118,79.0260420846729,0.9999764808816312,2,No,2,Medium
1096.0,13,38,43.71662017270138,0.6357588754571245,2,No,5,Medium
9727.0,6,100,148.26909405244575,0.6655227063777179,3,Yes,8,Medium
5309.0,38,134,63.65552261840892,0.20036784201579774,2,Yes,7,High
2645.0,21,158,158.11881089018706,0.4630433244993861,4,No,3,High
3800.0,19,113,30.34809014184225,0.8746524086346006,1,Yes,9,Low
6865.0,25,79,75.40141727134319,0.850844776292499,5,Yes,5,Medium
5084.0,39,23,198.24166279663174,0.5701591993251898,2,Yes,3,High
,4,129,111.73111559232454,0.9131087347639952,2,No,7,High
2418.0,22,24,75.47265714428875,0.22864331638514623,6,No,4,Medium
9030.0,5,165,68.59567061244391,0.6923704641953726,3,No,1,High
2619.0,1,120,56.53029734642623,0.32399521885197585,2,Yes,5,Medium
5527.0,17,98,122.68484865732651,0.681005264594713,1,Yes,8,High
4703.0,9,86,144.92982245521884,,6,Yes,4,Medium
8346.0,9,100,112.56486207330346,0.9492481855944449,4,No,7,High
2184.0,24,108,97.03912562110874,0.8076988356314434,0,No,8,High
999.0,10,8,130.0784354878549,0.2808654084063017,1,No,9,High
8815.0,20,164,29.772094760215495,0.6735489117148336,1,Yes,9,High
562.0,17,151,118.90410341089323,0.783231076483724,4,No,5,Medium
1601.0,13,135,121.7327176854619,0.2885012396464248,2,Yes,6,Low
815.0,29,96,113.36765156216849,0.1839972769425794,6,Yes,7,Low
5430.0,36,65,72.23852583026662,0.4166017894861299,5,No,2,High
7274.0,23,42,61.24784029591165,0.2221789070757088,1,Yes,9,Low
3711.0,27,122,34.95855941388601,0.6091405345938063,2,Yes,1,High
9280.0,18,138,173.52907862096023,0.4817034186160736,4,No,6,Low
311.0,18,60,97.21613435666555,0.5161819042908149,3,Yes,6,High
7456.0,9,172,78.81018587920683,,3,No,7,Low
853.0,3,125,73.93850613149453,0.9838469313483413,2,No,2,Low
3850.0,7,85,,0.813372099760998,6,No,6,High
3322.0,15,110,73.21480326622483,0.6665243454845656,3,Yes,6,Low
535.0,30,124,160.56148357399195,0.4273350530314025,3,No,9,High
9527.0,9,73,129.08556358914973,,2,No,8,Low
9070.0,41,87,141.42467045534517,0.20487484964687658,2,No,5,Medium
5029.0,27,46,147.96432035175437,0.7577805254854454,2,Yes,7,Medium
2060.0,36,103,209.99150668510407,0.43228353541773057,3,Yes,7,Medium
4372.0,18,134,101.38600910916382,0.40099369225838033,1,Yes,5,High
5913.0,31,32,78.60060342769805,0.9000805227317642,3,No,7,High
1824.0,17,121,121.85886373902264,0.536058001462394,1,No,3,High
8477.0,6,149,132.43383044579605,0.9096193516717987,5,No,7,Medium
1594.0,39,74,,0.8979746593619797,2,Yes,6,Low
2079.0,25,111,55.301790729838004,,3,No,6,High
5528.0,42,127,109.29983880628338,0.950826680590182,2,No,2,Medium
4153.0,42,73,127.22451664123432,,3,Yes,2,High
8537.0,38,43,117.36940871080358,0.9671555037224915,3,Yes,7,High
7260.0,38,139,8.118034878453528,0.5073534258394513,5,No,1,Low
8675.0,31,164,20.49552502451334,,2,No,9,High
7309.0,29,8,135.83921406371883,0.735529930470868,1,No,3,High
384.0,40,153,81.38445830760466,0.5666454768920757,4,Yes,6,Low
5183.0,9,164,211.22862913761654,,3,Yes,3,High
4094.0,1,86,167.05803662770353,0.9549263633492753,4,No,9,High
8591.0,16,101,36.59350246607895,0.9346163415969163,2,Yes,7,Low
1000.0,38,146,,0.6888934452331782,3,Yes,1,High
1559.0,23,74,180.02884351027808,0.6919468110410727,5,No,4,High
3021.0,8,50,77.73631836606,0.32224482405265426,6,No,5,Medium
,47,152,95.69111896063728,0.8457611452463114,3,Yes,7,Low
,12,190,72.59814757436018,0.6693429997018692,3,Yes,7,Medium
905.0,10,103,43.86717805389381,0.8436239127985873,2,Yes,5,Low
7695.0,16,84,178.8488973534317,,2,Yes,1,High
2328.0,47,52,-29.49869137712585,0.36938802342845356,4,No,5,Medium
2021.0,43,11,66.27094133379263,0.27053326245773196,3,Yes,5,Medium
5072.0,24,44,78.87703320106743,0.1692692598008399,4,No,4,Medium
2487.0,39,63,107.85939778017466,,3,Yes,6,Medium
2096.0,8,40,38.01518733412329,0.35564622175786154,4,No,8,Low
4925.0,11,176,167.7467193709179,,4,Yes,5,High
5382.0,41,112,8.205014849511883,0.1527908003953944,1,No,8,High
2603.0,26,35,8.93637512433368,0.43809675850506435,5,No,5,Medium
204.0,7,174,102.90265549550335,0.33449789383279804,3,No,3,High
6962.0,15,48,35.65234588766705,0.4333006702010018,4,Yes,8,High
8730.0,15,175,110.3878976885377,0.14885508678092838,5,Yes,4,Low
1621.0,48,47,62.99531517795722,0.7517632769501019,2,Yes,3,High
1451.0,3,179,,0.20502759982867594,6,Yes,3,High
2798.0,16,138,53.60656971041803,0.11296236371333794,2,No,6,High
3712.0,15,97,172.2275386143138,0.9516601912504001,0,Yes,8,High
608.0,25,198,131.47037572353105,0.27358874412854495,6,No,5,Medium
5410.0,33,90,62.09523531593742,0.8452551686009147,4,No,1,Low
6290.0,14,13,131.21232023163662,0.9680235397814119,5,Yes,1,Low
1374.0,24,15,107.30079713042258,0.5807090796118858,5,No,3,Low
2922.0,11,84,139.27552627582875,0.5735063440427918,1,No,6,High
163.0,3,113,129.97218318991622,0.43067552048506874,4,Yes,2,Medium
4021.0,9,122,117.96434313901898,0.48303537829785537,2,Yes,1,Low
959.0,6,22,103.23260270496071,0.5338678572580061,2,No,7,Medium
1647.0,31,157,145.22369942643277,0.2368849633485663,3,Yes,2,Low
2176.0,16,101,158.5298295740065,0.42826305154632327,1,No,8,Medium
536.0,11,190,106.82835004494497,0.8344975983485007,0,Yes,2,High
6185.0,17,34,,0.2641583076233252,5,Yes,1,High
3757.0,49,119,146.86291060187133,0.7568679222587038,4,No,2,Low
862.0,3,5,180.34635134590167,0.6864279402413717,2,Yes,2,Low
835.0,19,195,171.60617269899143,0.15156799775439322,4,Yes,7,Low
7314.0,24,101,151.4928422939583,0.1201859815939124,2,Yes,1,High
7684.0,47,117,79.29387787699606,0.41727561632051413,4,No,3,High
4194.0,42,83,34.35628405910897,0.722953249418657,3,No,5,Low
6694.0,8,33,127.96485446962234,0.3973761346245954,2,Yes,7,Low
4828.0,49,70,127.5863509059752,0.7009599705404445,0,No,6,High
9870.0,36,185,80.15289050083894,0.6989123287251834,3,No,8,Low
3829.0,40,109,33.28759774583571,0.8258991603618419,5,No,1,Low
7341.0,2,23,182.7896756377216,0.1895370532334603,1,Yes,7,Low
1176.0,23,70,121.27969592229536,0.6194160020687173,3,Yes,9,High
1930.0,40,116,39.58769766541042,0.15624740761598305,3,Yes,7,High
773.0,30,184,93.65102532959328,0.258352426246004,2,No,6,Medium
648.0,25,163,32.81575777345947,0.39295081257052833,2,No,9,Medium
9228.0,7,64,134.0892117274923,0.7366503163865193,3,Yes,4,Medium
995.0,28,121,192.50407412881802,0.9764901775036733,4,Yes,6,Medium
,41,72,,0.4082687329473196,3,Yes,6,Low
1013.0,17,97,95.37571265428576,0.5690300368624158,4,Yes,3,High
1276.0,32,162,86.18565819472518,0.3331500358801919,1,No,7,High
7373.0,1,145,88.78017398017505,0.7079406585486532,0,Yes,1,Medium
6796.0,27,147,61.20373393965385,0.4299272811554018,1,No,8,Low
4965.0,44,152,169.10214299996184,0.5334365560944498,0,Yes,8,High
4406.0,36,166,109.7514000849374,0.6110315882655659,3,Yes,8,High
3373.0,49,152,103.16914544420057,0.717618096916549,2,No,9,Low
6676.0,7,54,88.6973222273289,0.15404649516077795,2,Yes,4,Low
1622.0,3,93,36.355177305987006,0.5994109844079344,3,Yes,6,Medium
6525.0,30,159,146.91910801012824,0.48804768803299237,3,No,7,Medium
7577.0,1,162,171.14793415949123,0.2203885778317004,1,No,2,Low
2902.0,34,188,6.9266080518818285,0.2872330014982255,2,Yes,6,High
3222.0,38,197,135.47235984661998,0.8955010819901238,0,No,8,Low
2556.0,43,103,143.1225376068865,0.8845984081902131,2,No,4,Low
1749.0,36,187,164.21025928995837,0.1299972289813074,3,Yes,5,High
,33,117,160.2732610995263,0.720461342112627,6,Yes,8,High
1243.0,43,111,231.79013259953683,0.5987685818236187,0,Yes,3,Medium
8337.0,16,28,120.01303115415256,0.9458342588325237,3,No,6,Low
3414.0,38,29,149.6339094888949,0.9172051399201742,7,No,1,Medium
4506.0,11,185,100.62161238052809,0.6216057215671258,3,Yes,4,Low
2709.0,8,15,59.85825785029725,0.22505942918665328,0,Yes,6,Low
7691.0,1,98,,0.5138335213023701,4,Yes,3,High
3219.0,14,64,149.6897000454899,0.7526479302361052,1,Yes,1,Low
1500.0,30,179,117.08924859613684,0.9565629715808842,4,No,6,Low
9883.0,21,157,16.98773836396333,0.4274464651773243,2,Yes,3,High
8299.0,21,29,27.552173934117548,0.8062043283581967,4,No,8,High
9275.0,34,149,138.364749939979,0.7150066779535513,1,No,7,High
3697.0,38,144,81.71314408792914,0.1704634994280359,2,Yes,7,Low
5589.0,26,127,117.80466464605942,0.6021791652576591,6,No,8,High
3611.0,41,184,124.13456090073198,0.2651579501854473,2,No,7,Low
3928.0,14,15,94.27915301362415,0.7151943629599881,5,No,5,Medium
665.0,40,14,87.19578747779744,0.6490763622465753,0,Yes,8,High
7751.0,35,85,93.48665194415351,0.9757432824704498,7,Yes,8,Medium
9192.0,42,192,129.57451212045177,0.9418443986123285,7,Yes,8,Medium
,18,58,123.99989751667371,0.10843555023899308,4,Yes,6,High
6877.0,20,113,60.05127013614112,0.17202648715452967,2,Yes,2,High
213.0,9,67,99.25819877351745,0.7922208802866051,2,Yes,8,Low
631.0,41,24,46.96465570006902,0.7170787656784692,3,No,1,High
9814.0,45,9,125.71778754568062,0.8208510386652023,1,No,9,Medium
3510.0,33,45,76.72288918362081,,0,No,9,Medium
9336.0,49,122,135.98860643246357,0.864390491886229,4,No,6,Medium
5939.0,4,67,87.97854069865097,,4,No,6,Low
8324.0,4,188,157.20030128154838,0.33571763620699757,4,No,6,Low
8424.0,48,36,166.65298914403107,0.10954697282640313,4,No,4,High
1826.0,16,31,122.21006700917145,0.8842276313376344,5,No,1,High
5170.0,47,72,81.63783602958084,0.5818094643161552,2,Yes,1,High
8317.0,26,109,53.13514038033022,0.9778438753767934,5,Yes,1,Medium
2748.0,6,180,148.0816045980189,0.7432132506105336,2,No,5,Medium
9553.0,37,11,96.6903293763831,0.17237542914080073,1,No,7,Medium
2165.0,22,178,102.40750045125449,0.6293720677619281,4,Yes,1,High
1033.0,42,107,80.57983529917206,0.11541208584101276,3,Yes,1,High
1150.0,39,116,,0.6020036687916389,2,Yes,6,Medium
9108.0,7,150,153.72415093037847,0.4151814967891727,1,No,2,High
6130.0,42,170,95.76427546828998,0.678966251246889,2,No,2,Low
7216.0,30,107,6.887516337675436,0.5874167856216437,3,Yes,7,High
5143.0,10,197,,0.33521529107303955,1,No,9,Medium
9029.0,15,21,32.26530657780012,0.24611554819524162,6,No,8,High
6567.0,6,94,129.5189307946627,0.46424033770757467,6,Yes,2,Low
3702.0,24,119,122.65016217264679,0.9881526833646441,2,Yes,7,Medium
6978.0,2,90,175.4127319316749,0.4921287764943445,5,Yes,5,High
892.0,40,107,26.170782472581593,0.7739084240400624,3,No,4,High
6063.0,15,86,171.86040696100093,0.15127617304483365,2,Yes,4,High
9647.0,21,130,,0.44097918797566327,5,Yes,4,High
